Sample,Type,Time,Group_Type,Group_Time
H3K27me3_PNSPC_HuFNSC_T_day105,PNSPC,105,G,H
H3K27me3_GENSPC_HuFNSC04_day105,GENSPC,105,E,H
PSychENCODE_H3K27me3_CP_day109,CTX1,109,A,A
PSychENCODE_H3K27me3_SVZ.VZ_day109,CTX2,109,B,A
PSychENCODE_H3K27me3_CP_day113,CTX1,113,A,B
PSychENCODE_H3K27me3_SVZ.VZ_day113,CTX2,113,B,B
H3K27me3_CNSPC_HuFNSC01_day119,CNSPC,119,C,D
H3K27me3_CNSPC_HuFNSC02_day119,CNSPC,119,C,D
H3K27me3_GENSPC_HuFNSC01_day119,GENSPC,119,E,F
H3K27me3_GENSPC_HuFNSC02_day119,GENSPC,119,E,F
H3K27me3_HuFNSC01_day119,FB,119,D,E
H3K27me3_HuFNSC02_day119,FB,119,D,E
PSychENCODE_H3K27me3_CP_day123,CTX1,123,A,C
PSychENCODE_H3K27me3_SVZ.VZ_day123,CTX2,123,B,C
H3K27me3_GM_HuFGM01_day140,GM,140,F,G
H3K27me3_GM_HuFGM02_day140,GM,140,F,G
